u,v,BD
7,23,0.9874208829065686
7,22,0.9874208829065692
7,24,0.9874208829065697
6,20,0.9874208829065699
6,19,0.98742088290657
6,21,0.9874208829065706
5,18,0.9874208829065723
5,17,0.9874208829065726
5,16,0.987420882906573
12,38,0.9874208829065731
12,37,0.9874208829065737
11,35,0.9874208829065741
11,36,0.9874208829065744
10,31,0.9874208829065754
10,32,0.9874208829065757
12,39,0.9874208829065759
10,33,0.9874208829065766
11,34,0.9874208829065774
8,26,0.9874208829065776
9,29,0.9874208829065786
8,25,0.9874208829065787
9,28,0.987420882906579
8,27,0.9874208829065794
9,30,0.9874208829065795
4,15,0.9874208829065804
4,13,0.9874208829065807
4,14,0.9874208829065823
2,7,1.897366596100975
1,6,1.897366596100993
1,5,1.8973665961010187
3,12,1.8973665961010224
3,11,1.8973665961010255
3,10,1.897366596101031
2,9,1.8973665961010597
2,8,1.897366596101061
1,4,1.8973665961010775
0,3,2.96226264871972
0,1,2.962262648719726
0,2,2.962262648719727
